repo,ai_category,provider_or_lib,capability,policy_status,risk,severity,file,line,snippet,owner,last_seen,remediation
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\evaluation.py,61,"                csv_line.get(self.csv_task_type_column),
                csv_line[self.csv_question_column],
                safe_eval(csv_line.get(self.csv_query_column)),
                csv_line.get(self.csv_intent_column),
                safe_eval(csv_line.get(self.csv_entities_column)),","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\evaluation_item.py,86,"                        self.update_labeled_by_optional_labeled(""FIELD"")
                    self.examples = api_result.get(""examples"", [])#TODO: what is this used for?
                    self.predicted = safe_eval(api_result.get(""answer"", """")) if isinstance(api_result.get(""answer"", """"), str) else api_result.get(""answer"", """")
                    if self.predicted:
                        self.similarity, self.diff = deep_diff(self.labeled, self.predicted)","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,insecure_output_handling,Insecure Output Handling — LLM Output in Dangerous Sink,CRITICAL,Critical,1,src\evaluation_item.py,121,"            response = await client.send_prompt(prompt)
            try:
                return safe_eval(response)
            except Exception as e:
                logger.error(""Exception while trying to get semantic similarity. Exception details: %s"", e.__str__())","Shoham, Yarden",20260317_011752,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-agent-evaluator,Security,eval_on_llm_output,Unexpected Code Execution — eval/exec on LLM Output,CRITICAL,Critical,1,src\evaluation_item.py,121,"            response = await client.send_prompt(prompt)
            try:
                return safe_eval(response)
            except Exception as e:
                logger.error(""Exception while trying to get semantic similarity. Exception details: %s"", e.__str__())","Shoham, Yarden",20260317_011752,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\evaluation_item_model.py,61,"        if self.labeled:
            if isinstance(self.labeled, str):
                self.labeled = safe_eval(self.labeled)
                
        if self.optional_labeled:","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\prompt_refinement\model_actions.py,48,"        results_json = get_tags_content(result)
        try:
            eval(results_json)
        except Exception:
            results_json = repair_json(results_json)","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,insecure_output_handling,Insecure Output Handling — LLM Output in Dangerous Sink,CRITICAL,Critical,1,src\prompt_refinement\model_actions.py,48,"        results_json = get_tags_content(result)
        try:
            eval(results_json)
        except Exception:
            results_json = repair_json(results_json)","Shoham, Yarden",20260317_011752,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\utils\evaluator_utils.py,243,"

def safe_eval(val):
    try:
        if isinstance(val, float) and math.isnan(val):","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,sandbox_model_prediction.ipynb::cell[6],23,"            continue
        else:
            labeled = safe_eval(labeled)
            predicted = safe_eval(predicted)
            if not isinstance(labeled, dict) or not isinstance(predicted, dict):","Shoham, Yarden",20260317_011752,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-agent-evaluator,Security,http_response_to_llm,HTTP Response → LLM (multi-line),CRITICAL,Critical,1,src\evaluation_item.py,58,"                    logger.warning(""Missing 'systemId' header in request (line %s)"", self.line_num)

                response = requests.post(
                    agent_service_url,
                    json=dict(payload, message=self.question),
                    headers=headers
                )
                if response is None:
                    raise Exception(""agent service response: <no response>"")
                if response.status_code != 200:
                    raise Exception(f""agent service response: {response.status_code} {response.text}"")
                api_result = response.json()
                self.predicted_intent = api_result.get(""intent"", None)
                self.intent_time = api_result.get(""intent_time"", None)
                self.similar_queries = api_result.get(""similar_queries"", None)","Shoham, Yarden",20260317_011752,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-agent-evaluator,Security,logging_risk,Logging Risk,CRITICAL,Critical,1,src\evaluation_results_comparison.py,116,"            continue
        except Exception as e:
            logger.error(f""An error occurred while reading prompt files: {e}"")
            continue
","Shoham, Yarden",20260317_011752,"Avoid logging raw prompts or responses. Log metadata only (token count, latency, request_id). If full logging is needed, use a dedicated PII-scrubbing pipeline and restrict log access."
