repo,ai_category,provider_or_lib,capability,policy_status,risk,severity,file,line,snippet,owner,last_seen,remediation
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,15,"     NOTE: It may take a few minutes for the LoadBalancer IP to be available.
           You can watch the status of by running 'kubectl get --namespace {{ .Release.Namespace }} svc -w {{ include ""cogi.fullname"" . }}'
  export SERVICE_IP=$(kubectl get svc --namespace {{ .Release.Namespace }} {{ include ""cogi.fullname"" . }} --template ""{{""{{ range (index .status.loadBalancer.ingress 0) }}{{.}}{{ end }}""}}"")
  echo http://$SERVICE_IP:{{ .Values.service.port }}
{{- else if contains ""ClusterIP"" .Values.service.type }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,15,"     NOTE: It may take a few minutes for the LoadBalancer IP to be available.
           You can watch the status of by running 'kubectl get --namespace {{ .Release.Namespace }} svc -w {{ include ""cogi.fullname"" . }}'
  export SERVICE_IP=$(kubectl get svc --namespace {{ .Release.Namespace }} {{ include ""cogi.fullname"" . }} --template ""{{""{{ range (index .status.loadBalancer.ingress 0) }}{{.}}{{ end }}""}}"")
  echo http://$SERVICE_IP:{{ .Values.service.port }}
{{- else if contains ""ClusterIP"" .Values.service.type }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,2,"1. Get the application URL by running these commands:
{{- if .Values.ingress.enabled }}
{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,3,"1. Get the application URL by running these commands:
{{- if .Values.ingress.enabled }}
{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,4,"{{- if .Values.ingress.enabled }}
{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,5,"{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}
{{- end }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,5,"{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}
{{- end }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,5,"{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}
{{- end }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,5,"{{- range $host := .Values.ingress.hosts }}
  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}
{{- end }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-deployment,Security,jinja_template_injection,Template Injection Risk (Jinja2/SSTI),CRITICAL,Critical,1,cogi-applications\templates\NOTES.txt,6,"  {{- range .paths }}
  http{{ if $.Values.ingress.tls }}s{{ end }}://{{ $host.host }}{{ . }}
  {{- end }}
{{- end }}
{{- else if contains ""NodePort"" .Values.service.type }}","Laniado, Yarin",20260317_015630,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
