repo,ai_category,provider_or_lib,capability,policy_status,risk,severity,file,line,snippet,owner,last_seen,remediation
cogi-rag,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\insert_embeddings.py,20,"
def extract_metadata(json_line: str) -> Tuple[str, str]:
    json_as_dict = eval(json_line)
    entity_type = json_as_dict['entityType']
    query_json = json.dumps(json_as_dict)","Shoham, Yarden",20260317_024619,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-rag,Security,unsafe_code_exec,Code Execution Risk,CRITICAL,Critical,1,src\field_extraction\evaluate.py,106,"        #     continue
        all_queries.append(query)
        label = eval(row['labeled'])

        ## Scan the fields/properties in the labeled data","Shoham, Yarden",20260317_024619,"Isolate any LLM-generated code execution in a sandboxed environment (container, subprocess with restricted permissions). Never exec() model outputs directly in production. Review capability policies."
cogi-rag,Security,dataframe_to_llm,DataFrame → LLM (multi-line),CRITICAL,Critical,1,src\insert_embeddings.py,63,"    columns_to_read = ['json_type', 'Query', 'questions_openai_output']
    new_column_names = ['json_type', 'output', 'instruction']
    input_df = pd.read_csv(input_file, usecols=columns_to_read, low_memory=True, encoding='utf-8')
    input_df.columns = new_column_names

    input_df = input_df[input_df['json_type'] == json_type_filter]
    input_df = input_df.drop(columns=['json_type'])

    print(f""{datetime.now()} Inserting {input_df.shape[0]} embeddings into Elasticsearch..."")
    text_chunks, metadata_chunks = prepare_data(input_df, json_type_filter)

    for i in range(len(text_chunks)):
        print(f""{datetime.now()}: Inserting chunk of {len(text_chunks[i])} texts into Elasticsearch..."")
        send_to_elasticsearch(text_chunks[i], metadata_chunks[i], index, rag_url)
","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Security,http_response_to_llm,HTTP Response → LLM (multi-line),CRITICAL,Critical,1,src\insert_embeddings.py,52,"    rag_url = f'{rag_url}/add_text'

    response = requests.post(rag_url, data=json.dumps(data), headers=headers)
    if response.status_code != 200:
        print(f""Request failed with status code {response.status_code}, aborting..."")
        exit(1)


def insert_embeddings(input_file: str, index: str, rag_url: str, json_type_filter: str):
    print(f""Inserting embeddings from {input_file} into Elasticsearch..."")

    columns_to_read = ['json_type', 'Query', 'questions_openai_output']
    new_column_names = ['json_type', 'output', 'instruction']
    input_df = pd.read_csv(input_file, usecols=columns_to_read, low_memory=True, encoding='utf-8')
    input_df.columns = new_column_names","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Security,hardcoded_credential,Hardcoded Credential,CRITICAL,Critical,1,src\config\static_config.py,2,"ES_USERNAME = ""elastic""
ES_PASSWORD = ""MjH66wT327K40HFWbva3z0P9""
ES_HOST = ""elasticsearch.cogi.chat"" #""34.42.219.35""
ES_PORT = 80 #9200","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Security,env_vars_to_llm,Env Variables → LLM (multi-line),CRITICAL,Critical,1,src\elasticsearch_imp\elastic_vector_db.py,104,"        if self.device_id is not None and self.device_type == 'cuda':
            # set the CUDA device to use
            os.environ[""CUDA_DEVICE_ORDER""] = ""PCI_BUS_ID""
            os.environ[""CUDA_VISIBLE_DEVICES""] = str(self.device_id)
            print(f""Using device: {torch.cuda.get_device_name(torch.cuda.current_device())}"")
        model_kwargs = {'device': self.device_type}
        encode_kwargs = {'normalize_embeddings': False}
        self.embedding = ThreadSafeEmbeddings(
            model_name=self.embedding_model,
            model_kwargs=model_kwargs,
            encode_kwargs=encode_kwargs
        )
        if isinstance(self.system_reranker_model, str):
            self.system_reranker_model = CrossEncoder(self.system_reranker_model)
","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,External AI API,langchain,LLM Orchestration,REVIEW,High,2,src\elasticsearch_imp\elastic_vector_db.py,5,"import json

from langchain_community.embeddings import HuggingFaceEmbeddings
from langchain_community.vectorstores.elasticsearch import ElasticsearchStore
import elasticsearch","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Embeddings,sentence_transformers,Embedding Generation,REVIEW,Medium,3,src\config\static_config.py,11,"RERANK_ENABLED = False
RERANK_LEVEL = 2
EMBEDDINGS_MODEL =""sentence-transformers/multi-qa-MiniLM-L6-cos-v1""
RERANKER_MODEL = ""cross-encoder/ms-marco-MiniLM-L12-v2""
SYSTEM_RAG_TEMPLATE_PATH = ""src/templates/system_rag_template.j2""","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Embeddings,sentence_transformers,Embedding Generation,REVIEW,Medium,3,src\elasticsearch_imp\elastic_vector_db.py,9,"import elasticsearch
from typing import List, Tuple, Dict, Any, Generator
from sentence_transformers import CrossEncoder
from constants import JSON_TYPE_RELATION
from utils import extract_template","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,Embeddings,hf_embeddings,Embedding Generation,REVIEW,Medium,3,src\elasticsearch_imp\elastic_vector_db.py,26,"class ThreadSafeEmbeddings:
    def __init__(self, *args, **kwargs):
        self._embedder = HuggingFaceEmbeddings(*args, **kwargs)
        self._lock = Lock()
    def embed_query(self, text: str):","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,RAG/Vector DB,elasticsearch_vector,Vector Search,REVIEW,Medium,4,src\rag_service.py,4,"from pydantic import BaseModel
from typing import List, Tuple, Dict, Any, Optional
from elasticsearch_imp.elastic_vector_db import ElasticVectorDb
from logger.logger import Logger
from rag_services_config import RagServiceConfig","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,External AI API,dependency_declaration,AI Dependency,REVIEW,Low,4,requirements.txt,5,"langchain-community==0.3.27
langchain-experimental==0.3.4
langchain-openai==0.3.16

# Elasticsearch integration","Shoham, Yarden",20260317_024619,Pin AI library versions to exact releases (==) and run dependency audits in CI. Confirm the library is on the approved list before merging.
cogi-rag,ML Library,pytorch,Deep Learning,REVIEW,Low,4,src\elasticsearch_imp\elastic_vector_db.py,14,"from logger.logger import Logger
import os
import torch
from field_extraction.data_model import SearchFieldsOutputRecord
","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
cogi-rag,ML Library,pytorch,Deep Learning,REVIEW,Low,4,src\elasticsearch_imp\elastic_vector_db.py,106,"            os.environ[""CUDA_DEVICE_ORDER""] = ""PCI_BUS_ID""
            os.environ[""CUDA_VISIBLE_DEVICES""] = str(self.device_id)
            print(f""Using device: {torch.cuda.get_device_name(torch.cuda.current_device())}"")
        model_kwargs = {'device': self.device_type}
        encode_kwargs = {'normalize_embeddings': False}","Shoham, Yarden",20260317_024619,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
